Users,SpawnRate
3,1
3,1
2,1
1,1
1,1
1,1
1,1
1,1
3,1
1,1
2,1
3,1
1,1
3,1
2,1
3,1
3,1
1,1
3,1
5,1
4,1
6,1
4,1
6,1
7,1
10,1
10,1
11,1
11,1
13,1
13,1
16,1
14,1
15,1
18,1
18,1
17,1
16,1
14,1
13,1
12,1
13,1
12,1
12,1
10,1
12,1
12,1
10,1
12,1
11,1
12,1
14,1
16,1
16,1
13,1
17,1
14,1
15,1
15,1
15,1
15,1
18,1
18,1
18,1
20,1
20,1
19,1
21,1
21,1
20,1
20,1
19,1
17,1
17,1
17,1
16,1
16,1
16,1
14,1
13,1
16,1
12,1
14,1
12,1
12,1
11,1
10,1
7,1
6,1
5,1
5,1
6,1
4,1
3,1
5,1
5,1
