Users,SpawnRate
4,1
3,1
4,1
1,1
3,1
3,1
1,1
1,1
1,1
3,1
2,1
1,1
1,1
2,1
2,1
2,1
3,1
4,1
4,1
5,1
6,1
5,1
6,1
5,1
6,1
10,1
10,1
9,1
13,1
14,1
15,1
16,1
14,1
15,1
19,1
16,1
17,1
17,1
16,1
15,1
13,1
13,1
11,1
11,1
10,1
11,1
10,1
12,1
14,1
14,1
14,1
12,1
14,1
13,1
15,1
15,1
16,1
17,1
17,1
17,1
17,1
15,1
16,1
19,1
21,1
19,1
19,1
19,1
19,1
19,1
20,1
19,1
20,1
19,1
19,1
17,1
15,1
16,1
16,1
15,1
14,1
13,1
11,1
12,1
9,1
11,1
9,1
9,1
6,1
5,1
5,1
6,1
3,1
2,1
4,1
4,1
